Bezirke;Jahr;Monat;(Gaeste);(Gaeste) - Anmerkungen;(Uebernachtungen);(Uebernachtungen) - Anmerkungen
;;Februar;12428;;26658;
;;Maerz;14631;;34170;
;;April;15386;;37107;
;;Mai;20456;;47723;
;;Juni;19887;;46365;
;;Juli;17594;;46511;
;;August;17364;;49353;
;;September;20237;;47149;
;;Oktober;20162;;48167;
;;November;18340;;38612;
;;Dezember;13637;;31237;
;2010;Januar;9268;;21637;
;;Februar;11508;;25533;
;;Maerz;15227;;35868;
;;April;14270;;34914;
;;Mai;19893;;48158;
;;Juni;21015;;49911;
;;Juli;15920;;44152;
;;August;14980;;42096;
;;September;20490;;48719;
;;Oktober;18447;;45480;
;;November;14942;;31787;
;;Dezember;10734;;24179;
;2011;Januar;10054;;22164;
;;Februar;11715;;24679;
;;Maerz;15072;;36541;
;;April;15812;;38488;
;;Mai;19477;;43695;
;;Juni;19477;;47824;
;;Juli;16659;;44967;
;;August;16786;;44494;
;;September;20351;;50518;
;;Oktober;19401;;47679;
;;November;16294;;33678;
;;Dezember;12618;;27037;
;2012;Januar;11281;;26380;
;;Februar;13303;;29529;
;;Maerz;17095;;40835;
;;April;17212;;42782;
;;Mai;21171;;50324;
;;Juni;21039;;53449;
;;Juli;17322;;49070;
;;August;19863;;54899;
;;September;21651;;51648;
;;Oktober;20360;;49504;
;;November;16680;;36460;
;;Dezember;13501;;30291;
;2013;Januar;10272;;24109;
;;Februar;11899;;27717;
;;Maerz;14531;;34997;
;;April;16633;;37723;
;;Mai;19334;;44704;
;;Juni;18421;;43831;
;;Juli;16422;;45648;
;;August;18484;;50660;
;;September;19885;;45421;
;;Oktober;18650;;46033;
;;November;15700;;32758;
;;Dezember;12781;;28200;
;2015;Januar;10967;;25764;
;;Februar;12240;;29437;
;;Maerz;18659;;38319;
;;April;16139;;37363;
;;Mai;21022;;48898;
;;Juni;20362;;46808;
;;Juli;18942;;50354;
;;August;17559;;49989;
;;September;21807;;49747;
;;Oktober;20013;;47320;
;;November;17249;;36964;
;;Dezember;13646;;31208;
07  Tempelhof-Schoeneberg;2014;Januar;45065;;106806;
;;Februar;43383;;100064;
;;Maerz;54868;;132527;
;;April;58802;;151906;
;;Mai;66110;;162468;
;;Juni;64970;;156857;
;;Juli;63241;;164412;
;;August;62791;;172114;
;;September;68934;;163091;
;;Oktober;69489;;172673;
;;November;59396;;138543;
;;Dezember;55472;;131984;
;2010;Januar;35101;;78637;
;;Februar;34719;;73772;
;;Maerz;45087;;100022;
;;April;44940;;102793;
;;Mai;53488;;122510;
;;Juni;55498;;123089;
;;Juli;51307;;122574;
;;August;50152;;123370;
;;September;63214;;134194;
;;Oktober;61744;;135840;
;;November;51348;;99990;
;;Dezember;44356;;90594;
;2011;Januar;39949;;80758;
;;Februar;37067;;76365;
;;Maerz;45998;;96196;
;;April;52147;;118001;
;;Mai;57601;;124543;
;;Juni;54705;;123955;
;;Juli;51396;;124532;
;;August;51658;;126707;
;;September;58347;;128884;
;;Oktober;59886;;134349;
;;November;50559;;103476;
;;Dezember;48594;;106439;
;2012;Januar;42018;;88119;
;;Februar;41193;;87423;
;;Maerz;50668;;110815;
;;April;55857;;133789;
;;Mai;57717;;132028;
;;Juni;57215;;132761;
;;Juli;58179;;142708;
;;August;59720;;149460;
;;September;60613;;141455;
;;Oktober;62933;;147614;
;;November;53875;;113393;
;;Dezember;50338;;116427;
;2013;Januar;44033;;95493;
